músculo | мышца | Me duele el músculo después del entrenamiento. (У меня болит мышца после тренировки.)
arteria | артерия | La arteria principal lleva sangre al corazón. (Главная артерия несёт кровь к сердцу.)
tendón | сухожилие | Se lesionó el tendón de Aquiles. (Он травмировал ахиллово сухожилие.)
postura | осанка / поза | Tiene muy buena postura al caminar. (У неё очень хорошая осанка при ходьбе.)
mirada | взгляд | Tiene una mirada muy intensa. (У него очень пронзительный взгляд.)
parecerse a | быть похожим на | Se parece mucho a su padre. (Он очень похож на своего отца.)
tener la piel clara | иметь светлую кожу | Tiene la piel clara y se quema fácilmente. (У неё светлая кожа, и она легко обгорает.)
tener la piel oscura | иметь тёмную кожу | Tiene la piel oscura y bronceada. (У него тёмная загорелая кожа.)
tener la piel sensible | иметь чувствительную кожу | Tiene la piel sensible y usa cremas especiales. (У неё чувствительная кожа, и она использует специальные кремы.)
tener la piel suave | иметь мягкую кожу | Tiene la piel suave como la seda. (У неё кожа мягкая, как шёлк.)
estar moreno | быть загорелым | Está muy moreno después de las vacaciones. (Он очень загорел после отпуска.)
ser blanco (de piel) | быть белокожим | Es muy blanco de piel y no le gusta el sol. (Он очень светлокожий и не любит солнце.)
ser moreno (de piel) | быть смуглым | Es moreno de piel, de origen mediterráneo. (Он смуглый, средиземноморского происхождения.)
tener buen tipo | иметь хорошую фигуру | Tiene muy buen tipo para su edad. (У неё очень хорошая фигура для её возраста.)
tener buena presencia | иметь представительную внешность | Tiene muy buena presencia en las entrevistas. (У него очень представительная внешность на собеседованиях.)
ciego | слепой | Se quedó ciego después del accidente. (Он ослеп после аварии.)
sordo | глухой | Es sordo de nacimiento. (Он глухой от рождения.)
mudo | немой | Nació mudo pero se comunica con señas. (Он родился немым, но общается жестами.)
saliva | слюна | La saliva ayuda a digerir los alimentos. (Слюна помогает переваривать пищу.)
lágrima | слеза | Le cayeron las lágrimas al ver la película. (У него потекли слёзы при просмотре фильма.)
sudor | пот | Tenía el sudor en la frente después de correr. (У него был пот на лбу после бега.)
gesto | жест | Hizo un gesto de desaprobación. (Он сделал жест неодобрения.)
expresión | выражение (лица) | Tenía una expresión de sorpresa en la cara. (На его лице было выражение удивления.)
ser de estatura media | быть среднего роста | Es de estatura media, ni alto ni bajo. (Он среднего роста — ни высокий, ни низкий.)
tener arrugas | иметь морщины | Tiene arrugas alrededor de los ojos. (У неё морщины вокруг глаз.)
tener una cicatriz | иметь шрам | Tiene una cicatriz en la rodilla de una caída. (У него шрам на колене от падения.)
tener buen color | выглядеть здоровым / иметь хороший цвет лица | Hoy tienes muy buen color, ¿descansaste bien? (Сегодня у тебя хороший цвет лица, хорошо отдохнул?)
tener buen aspecto | хорошо выглядеть | Tiene muy buen aspecto después de las vacaciones. (Он отлично выглядит после отпуска.)
ser clavados | быть вылитыми друг в друга | Son clavados, no puedo distinguirlos. (Они вылитые друг в друга, я не могу их различить.)
ser como dos gotas de agua | быть похожими как две капли воды | Son como dos gotas de agua, nadie los distingue. (Они похожи как две капли воды, никто их не различает.)
caminar | ходить / идти | Me gusta caminar por el parque por las mañanas. (Мне нравится гулять по парку по утрам.)
dar un paseo | прогуляться | Vamos a dar un paseo después de cenar. (Давай прогуляемся после ужина.)
saltar | прыгать | Los niños saltan en el trampolín. (Дети прыгают на батуте.)
estar sentado | сидеть | Lleva horas sentado frente al ordenador. (Он сидит перед компьютером уже несколько часов.)
estar de pie | стоять | Estuvo de pie toda la tarde. (Он простоял всё послеобеденное время.)
respirar | дышать | Respira hondo y relájate. (Дыши глубоко и расслабься.)
llorar | плакать | Lloró al ver la película. (Она заплакала, посмотрев фильм.)
oler | нюхать / пахнуть | Huele muy bien esta flor. (Этот цветок очень хорошо пахнет.)
tocar | трогать / касаться | No toques eso, está caliente. (Не трогай это, оно горячее.)
besar | целовать | Le besó en la mejilla al despedirse. (Он поцеловал её в щёку на прощание.)
abrazar | обнимать | La abrazó con fuerza al verla. (Он крепко обнял её, увидев.)
levantar la mano | поднять руку | Levantó la mano para hacer una pregunta. (Он поднял руку, чтобы задать вопрос.)
mover la cabeza | покачать головой | Movió la cabeza en señal de negación. (Он покачал головой в знак отрицания.)
soltar | отпустить / выпустить | Soltó la cuerda de golpe. (Он резко отпустил верёвку.)
tumbarse | лечь / растянуться | Se tumbó en el sofá a descansar. (Он растянулся на диване отдохнуть.)
tirarse | бросаться / ложиться | Se tiró al suelo de cansancio. (Он бросился на пол от усталости.)
incorporarse | подняться / сесть (из лежачего положения) | Se incorporó lentamente después de caerse. (Он медленно поднялся после падения.)
alzarse | подняться / встать | Se alzó de la silla para hablar. (Он встал со стула, чтобы говорить.)
agacharse | наклониться / присесть | Se agachó para recoger las llaves. (Он наклонился, чтобы поднять ключи.)
cruzar los brazos | скрестить руки | Se quedó con los brazos cruzados sin decir nada. (Он стоял со скрещенными руками, не говоря ни слова.)
cruzar las piernas | скрестить ноги | Se sentó cruzando las piernas. (Он сел, скрестив ноги.)
estar agachado | быть в наклоне / присевшим | Estuvo agachado mucho tiempo en el jardín. (Он долго был в наклоне в саду.)
estar derecho | стоять/сидеть прямо | Ponte derecho, tienes mala postura. (Встань прямо, у тебя плохая осанка.)
ponerse de pie | встать | Se puso de pie cuando entró el director. (Он встал, когда вошёл директор.)
ponerse de rodillas | встать на колени | Se puso de rodillas para pedir perdón. (Он встал на колени, чтобы попросить прощения.)
quedarse quieto | замереть / оставаться на месте | Quédate quieto mientras te hago la foto. (Замри, пока я делаю фото.)
quedarse dormido | заснуть | Se quedó dormido viendo la tele. (Он заснул перед телевизором.)
rascarse | чесаться | Se rascó la cabeza pensativo. (Он задумчиво почесал голову.)
arañar | царапать | El gato me arañó el brazo. (Кошка поцарапала мне руку.)
acariciar | гладить / ласкать | Acarició al perro con ternura. (Она нежно погладила собаку.)
dar una patada | ударить ногой | Le dio una patada al balón. (Он ударил по мячу ногой.)
dar un puñetazo | ударить кулаком | Le dio un puñetazo en la cara. (Он ударил его кулаком в лицо.)
estornudar | чихать | Estornudó tres veces seguidas. (Он чихнул три раза подряд.)
bostezar | зевать | Bostezó porque tenía mucho sueño. (Он зевал, потому что очень хотел спать.)
sudar | потеть | Suda mucho cuando hace deporte. (Он сильно потеет, когда занимается спортом.)
masticar | жевать | Mastica bien la comida antes de tragar. (Жуй еду хорошо, прежде чем глотать.)
escupir | плевать | Escupió el chicle en la papelera. (Он выплюнул жвачку в мусорную корзину.)
aguantar | терпеть / выдерживать | Aguantó el dolor sin quejarse. (Он терпел боль, не жалуясь.)
sujetar | держать / удерживать | Sujeta la puerta, por favor. (Придержи дверь, пожалуйста.)
aplaudir | аплодировать | El público aplaudió al final del concierto. (Публика аплодировала в конце концерта.)
señalar | указывать | Señaló el edificio con el dedo. (Он указал на здание пальцем.)
indicar | указывать / обозначать | Me indicó cómo llegar a la estación. (Он показал мне, как добраться до станции.)
menstruación | менструация | La menstruación ocurre una vez al mes. (Менструация происходит раз в месяц.)
fecundación | оплодотворение | La fecundación ocurre cuando el espermatozoide llega al óvulo. (Оплодотворение происходит, когда сперматозоид достигает яйцеклетки.)
embarazo | беременность | El embarazo dura aproximadamente nueve meses. (Беременность длится примерно девять месяцев.)
aborto | аборт / выкидыш | Tuvo un aborto espontáneo en el primer trimestre. (У неё был выкидыш в первом триместре.)
parto | роды | El parto duró doce horas. (Роды длились двенадцать часов.)
cesárea | кесарево сечение | Le hicieron una cesárea de urgencia. (Ей сделали экстренное кесарево сечение.)
vida | жизнь | La vida está llena de sorpresas. (Жизнь полна сюрпризов.)
muerte | смерть | La muerte es parte inevitable de la vida. (Смерть — неизбежная часть жизни.)
estar embarazada | быть беременной | Está embarazada de cinco meses. (Она беременна на пятом месяце.)
esperar un hijo | ждать ребёнка | Están esperando su primer hijo. (Они ждут своего первого ребёнка.)
ser virgen | быть девственником / девственницей | Decidió seguir siendo virgen hasta el matrimonio. (Она решила оставаться девственницей до брака.)
hacer el amor | заниматься любовью | Hacer el amor fortalece la relación de pareja. (Заниматься любовью укрепляет отношения.)
tener relaciones sexuales | вступать в половые отношения | Es importante tener relaciones sexuales seguras. (Важно заниматься безопасным сексом.)
tomar la píldora | принимать таблетки (контрацептивы) | Toma la píldora desde hace dos años. (Она принимает таблетки уже два года.)
usar preservativos | использовать презервативы | Es importante usar preservativos para prevenir enfermedades. (Важно использовать презервативы для профилактики заболеваний.)
tener la regla | быть в менструации / иметь месячные | No puede ir a la piscina porque tiene la regla. (Она не может идти в бассейн, потому что у неё месячные.)
maternidad | материнство | La maternidad cambió su vida por completo. (Материнство полностью изменило её жизнь.)
paternidad | отцовство | Asumió la paternidad con mucha responsabilidad. (Он принял отцовство с большой ответственностью.)
cadáver | труп / тело (умершего) | La policía encontró un cadáver en el río. (Полиция нашла труп в реке.)
tumba | могила | Dejó flores en la tumba de su abuelo. (Она оставила цветы на могиле своего деда.)
dar a luz | рожать | Dio a luz a una niña sana. (Она родила здоровую девочку.)
fallecer | скончаться / умереть | Falleció a los 90 años rodeado de su familia. (Он скончался в 90 лет в окружении семьи.)
enterrar | хоронить | Lo enterraron en el cementerio del pueblo. (Его похоронили на деревенском кладбище.)
incinerar | кремировать | Decidieron incinerar el cuerpo según su voluntad. (Они решили кремировать тело согласно его воле.)
optimismo | оптимизм | Su optimismo es contagioso. (Его оптимизм заразителен.)
pesimismo | пессимизм | El pesimismo no te ayuda a resolver los problemas. (Пессимизм не помогает решать проблемы.)
tranquilidad | спокойствие | Trabaja con tranquilidad aunque haya mucho estrés. (Она работает спокойно, даже когда много стресса.)
intranquilidad | беспокойство | Su intranquilidad se nota en la cara. (Его беспокойство заметно по лицу.)
paciencia | терпение | Hay que tener mucha paciencia con los niños. (С детьми нужно много терпения.)
impaciencia | нетерпение | Su impaciencia le causa problemas en el trabajo. (Его нетерпение создаёт ему проблемы на работе.)
sincero | искренний | Es muy sincero, nunca miente. (Он очень искренний, никогда не лжёт.)
impaciente | нетерпеливый | Es muy impaciente cuando tiene que esperar. (Она очень нетерпелива, когда приходится ждать.)
introvertido | интровертный | Es introvertido y prefiere estar solo. (Он интроверт и предпочитает быть один.)
vago | ленивый | Es muy vago, nunca hace los deberes. (Он очень ленивый, никогда не делает домашнее задание.)
travieso | озорной / непослушный | El niño es muy travieso en clase. (Мальчик очень озорной в классе.)
seguro | уверенный (в себе) | Es muy seguro de sí mismo en las entrevistas. (Он очень уверен в себе на собеседованиях.)
inseguro | неуверенный | Se siente inseguro cuando habla en público. (Он чувствует себя неуверенно, когда говорит публично.)
conservador | консервативный | Es muy conservador y no le gustan los cambios. (Он очень консервативный и не любит перемены.)
hablador | разговорчивый | Es tan hablador que nunca para de hablar. (Он такой разговорчивый, что никогда не замолкает.)
arrogante | высокомерный | Es arrogante y no escucha a los demás. (Он высокомерный и не слушает других.)
tener sentido del humor | иметь чувство юмора | Tiene mucho sentido del humor, siempre nos hace reír. (У него отличное чувство юмора, он всегда нас смешит.)
tener mucho carácter | иметь сильный характер | Tiene mucho carácter, no se deja pisotear. (У неё сильный характер, она не позволяет собой помыкать.)
tener mal carácter | иметь плохой характер | Tiene mal carácter y se enfada por todo. (У него плохой характер, он злится по любому поводу.)
tener carácter fuerte | иметь твёрдый характер | Tiene un carácter fuerte, siempre defiende sus ideas. (У неё твёрдый характер, она всегда отстаивает свои идеи.)
tener carácter difícil | иметь сложный характер | Es de carácter difícil y discute con todos. (У него сложный характер, он спорит со всеми.)
ambición | амбиция / честолюбие | Su ambición le llevó a la cima de la empresa. (Его амбиции привели его на вершину компании.)
arrogancia | высокомерие | Su arrogancia le impide hacer amigos. (Его высокомерие мешает ему заводить друзей.)
constancia | постоянство / настойчивость | La constancia es clave para aprender un idioma. (Настойчивость — ключ к изучению языка.)
inconstancia | непостоянство | Su inconstancia le impide terminar los proyectos. (Его непостоянство мешает ему завершать проекты.)
cobardía | трусость | La cobardía le impidió decir la verdad. (Трусость помешала ему сказать правду.)
curiosidad | любопытство | La curiosidad es esencial para aprender. (Любопытство — важное качество для обучения.)
egoísmo | эгоизм | Su egoísmo le hace pensar solo en sí mismo. (Его эгоизм заставляет его думать только о себе.)
generosidad | щедрость | Su generosidad no tiene límites. (Её щедрость не знает границ.)
puntualidad | пунктуальность | La puntualidad es una señal de respeto. (Пунктуальность — знак уважения.)
impuntualidad | непунктуальность | Su impuntualidad molesta a todos en la oficina. (Его непунктуальность раздражает всех в офисе.)
responsabilidad | ответственность | La responsabilidad es fundamental en el trabajo. (Ответственность — основа работы.)
irresponsabilidad | безответственность | Su irresponsabilidad causó problemas graves. (Его безответственность вызвала серьёзные проблемы.)
sensibilidad | чувствительность | Tiene mucha sensibilidad hacia el arte. (У неё большая чувствительность к искусству.)
insensibilidad | бесчувственность | Su insensibilidad hirió a muchas personas. (Его бесчувственность обидела многих людей.)
seriedad | серьёзность | Su seriedad impresiona a los clientes. (Его серьёзность производит впечатление на клиентов.)
sinceridad | искренность | Valoro mucho la sinceridad en una persona. (Я очень ценю искренность в человеке.)
insinceridad | неискренность | Su insinceridad hizo que perdiéramos la confianza en él. (Его неискренность заставила нас потерять доверие к нему.)
ternura | нежность | Trata a los niños con mucha ternura. (Она обращается с детьми с большой нежностью.)
timidez | застенчивость | La timidez le impide hablar en público. (Застенчивость мешает ему говорить публично.)
valentía | храбрость / смелость | Tuvo la valentía de decir la verdad. (У неё хватило смелости сказать правду.)
ambicioso | амбициозный | Es muy ambicioso y quiere llegar lejos. (Он очень амбициозный и хочет многого достичь.)
callado | молчаливый | Es muy callado, habla poco. (Он очень молчаливый, говорит мало.)
cobarde | трусливый | Es demasiado cobarde para enfrentarse a los problemas. (Он слишком трусливый, чтобы встречать проблемы лицом к лицу.)
constante | настойчивый / последовательный | Es muy constante en sus estudios. (Она очень последовательна в учёбе.)
curioso | любопытный | Es muy curioso y siempre hace preguntas. (Он очень любопытный и всегда задаёт вопросы.)
discreto | сдержанный / тактичный | Es muy discreto y nunca cuenta los secretos de nadie. (Он очень тактичный и никогда не раскрывает ничьих секретов.)
tacaño | скупой | Es tan tacaño que nunca invita a nadie. (Он такой скупой, что никогда никого не угощает.)
tierno | нежный / ласковый | Es muy tierno con los animales. (Он очень ласков с животными.)
responsable | ответственный | Es muy responsable con sus obligaciones. (Она очень ответственно относится к своим обязанностям.)
irresponsable | безответственный | Es irresponsable y siempre llega tarde. (Он безответственный и всегда опаздывает.)
susceptible | обидчивый | Es muy susceptible y se ofende por todo. (Она очень обидчивая и обижается по любому поводу.)
apasionado | страстный / увлечённый | Es muy apasionado por la música. (Он очень увлечён музыкой.)
solidario | солидарный / отзывчивый | Es muy solidario con los que sufren. (Он очень отзывчив к тем, кто страдает.)
no tener personalidad | не иметь своего характера | No tiene personalidad, hace lo que los demás dicen. (У него нет своего характера, он делает то, что говорят другие.)
tener temperamento | иметь темперамент | Tiene mucho temperamento, se apasiona con todo. (У неё много темперамента, она увлекается всем.)
carácter brusco | резкий характер | Tiene un carácter brusco pero buen corazón. (У него резкий характер, но доброе сердце.)
tener curiosidad | испытывать любопытство | Tiene mucha curiosidad por saber cómo funciona todo. (Она очень любопытна, хочет знать, как всё устроено.)
estar acomplejado | иметь комплексы | Está acomplejado por su altura. (У него комплекс из-за своего роста.)
complejo de inferioridad | комплекс неполноценности | Tiene un complejo de inferioridad desde la infancia. (У него комплекс неполноценности с детства.)
complejo de superioridad | комплекс превосходства | Su complejo de superioridad le hace sentir mejor que los demás. (Его комплекс превосходства заставляет его чувствовать себя лучше других.)
no tener dos dedos de frente | быть недалёким / не иметь ума | No tiene dos dedos de frente, mete la pata siempre. (Он совсем недалёкий, всегда всё портит.)
estar como una cabra | быть чокнутым / сумасшедшим | Está como una cabra, hace cosas muy raras. (Он чокнутый, делает очень странные вещи.)
sentimiento | чувство | Es una persona llena de sentimientos. (Она человек, полный чувств.)
amor | любовь | El amor lo puede todo. (Любовь всё может.)
amistad | дружба | La amistad verdadera es muy valiosa. (Настоящая дружба очень ценна.)
estar aburrido | скучать / быть в скуке | Está aburrido porque no tiene nada que hacer. (Ему скучно, потому что нечего делать.)
estar asustado | быть напуганным | Está asustado por los ruidos de la noche. (Он напуган ночными звуками.)
estar estresado | быть в стрессе | Está muy estresado con el trabajo. (Она очень напряжена из-за работы.)
estar deprimido | быть в депрессии | Está deprimido desde que perdió el trabajo. (Он в депрессии с тех пор, как потерял работу.)
estar enamorado | быть влюблённым | Está enamorado y se le nota en la cara. (Он влюблён, и это видно по его лицу.)
alegrarse | радоваться | Se alegró mucho al recibir la noticia. (Она очень обрадовалась, получив новость.)
divertirse | веселиться / развлекаться | Se divirtieron mucho en la fiesta. (Они очень повеселились на вечеринке.)
enamorarse | влюбиться | Se enamoró a primera vista. (Он влюбился с первого взгляда.)
aburrirse | скучать | Se aburre mucho en las reuniones largas. (Ей очень скучно на длинных совещаниях.)
deprimirse | впасть в депрессию | Se deprimió después de la ruptura. (Она впала в депрессию после разрыва.)
enfadarse | злиться / обижаться | Se enfadó porque llegaron tarde. (Он разозлился, потому что они опоздали.)
dar pena | вызывать жалость | Me da pena verle tan triste. (Мне жаль видеть его таким грустным.)
dar lástima | вызывать сожаление / жалость | Da lástima ver cómo viven algunos animales en los zoos. (Жалко видеть, как некоторые животные живут в зоопарках.)
dar miedo | пугать / вызывать страх | Le dan miedo las arañas. (Его пугают пауки.)
ponerse triste | загрустить | Se puso triste al ver la película. (Она загрустила, посмотрев фильм.)
ponerse contento | обрадоваться | Se puso muy contento cuando le dieron el premio. (Он очень обрадовался, когда получил награду.)
ponerse de mal humor | впасть в плохое настроение | Se pone de mal humor cuando no duerme bien. (Он впадает в плохое настроение, когда плохо спит.)
encontrarse bien | чувствовать себя хорошо | Hoy me encuentro muy bien, gracias. (Сегодня я чувствую себя очень хорошо, спасибо.)
encontrarse fatal | чувствовать себя ужасно | Se encontraba fatal y tuvo que irse a casa. (Она чувствовала себя ужасно и была вынуждена уйти домой.)
no soportar | не выносить / терпеть | No soporta el ruido cuando estudia. (Он не выносит шума, когда учится.)
alegría | радость | Sintió una gran alegría al ver a su familia. (Она почувствовала большую радость, увидев семью.)
admiración | восхищение | Siente una gran admiración por su profesora. (Он испытывает большое восхищение своей учительницей.)
alivio | облегчение | Sintió un gran alivio al terminar el examen. (Она почувствовала огромное облегчение, закончив экзамен.)
emoción | волнение / эмоция | Sintió una gran emoción al recibir el premio. (Он испытал сильное волнение, получив премию.)
felicidad | счастье | La felicidad no se compra con dinero. (Счастье не купишь за деньги.)
orgullo | гордость | Sintió orgullo al ver a su hijo graduarse. (Она почувствовала гордость, видя, как сын получает диплом.)
angustia | тревога / мучение | Siente mucha angustia antes de los exámenes. (Перед экзаменами она испытывает сильную тревогу.)
enfado | злость / обида | Su enfado duró todo el día. (Его злость длилась весь день.)
estrés | стресс | El estrés del trabajo le afecta la salud. (Рабочий стресс влияет на его здоровье.)
odio | ненависть | El odio solo genera más odio. (Ненависть порождает только больше ненависти.)
temor | страх / опасение | Tiene temor a hablar en público. (Она боится выступать публично.)
tristeza | грусть / печаль | Sintió una tristeza profunda al despedirse. (Он почувствовал глубокую грусть на прощании.)
desanimado | подавленный / без настроения | Está desanimado porque no consigue trabajo. (Он подавлен, потому что не может найти работу.)
contento | довольный / радостный | Está muy contento con los resultados. (Он очень доволен результатами.)
fascinado | восхищённый | Estaba fascinado con el paisaje. (Он был восхищён пейзажем.)
feliz | счастливый | Es la persona más feliz que conozco. (Она самый счастливый человек, которого я знаю.)
desilusionado | разочарованный | Estaba desilusionado con la película. (Он был разочарован фильмом.)
ilusionado | воодушевлённый / с надеждой | Está muy ilusionada con el viaje. (Она очень воодушевлена предстоящей поездкой.)
satisfecho | довольный / удовлетворённый | Está satisfecho con su trabajo. (Он доволен своей работой.)
sorprendido | удивлённый | Estaba sorprendido por la noticia. (Он был удивлён новостью.)
agobiado | подавленный / измотанный | Está agobiado con tanto trabajo. (Он измотан таким количеством работы.)
apenado | огорчённый | Estaba apenado por lo que pasó. (Он был огорчён случившимся.)
avergonzado | смущённый / пристыжённый | Se sintió avergonzado delante de todos. (Он почувствовал смущение перед всеми.)
disgustado | расстроенный / недовольный | Estaba disgustado con la decisión. (Он был недоволен решением.)
dolido | обиженный / задетый | Estaba dolido por lo que le dijeron. (Он был обижен тем, что ему сказали.)
indignado | возмущённый | Estaba indignado por el trato recibido. (Он был возмущён тем, как с ним обошлись.)
resignado | смирившийся | Estaba resignado a perder el trabajo. (Он смирился с потерей работы.)
sin ánimos | без сил / без желания что-то делать | Está sin ánimos para salir hoy. (У неё нет никакого желания выходить сегодня.)
disfrutar | наслаждаться | Disfruta mucho de la música en directo. (Он очень наслаждается живой музыкой.)
hacer ilusión | радовать / воодушевлять | Me hace mucha ilusión el viaje. (Поездка меня очень воодушевляет.)
amar | любить (глубоко) | Te amo con todo mi corazón. (Я люблю тебя всем сердцем.)
adorar | обожать | Adora el chocolate, no puede vivir sin él. (Она обожает шоколад, не может без него жить.)
volver loco | сводить с ума | Me vuelve loco esa canción. (Эта песня сводит меня с ума.)
sorprenderse | удивляться | Se sorprendió mucho al ver la decoración. (Она очень удивилась, увидев декорации.)
asustarse | пугаться | Se asustó con el ruido repentino. (Он испугался от внезапного шума.)
estresarse | нервничать / испытывать стресс | Se estresa mucho antes de los exámenes. (Она очень нервничает перед экзаменами.)
avergonzarse | стесняться / стыдиться | Se avergüenza cuando le hacen cumplidos. (Она стесняется, когда ей делают комплименты.)
cansarse | уставать | Se cansa rápido cuando hace ejercicio. (Он быстро устаёт, когда занимается спортом.)
detestar | ненавидеть / терпеть не мочь | Detesta madrugar los lunes. (Она терпеть не может рано вставать по понедельникам.)
lamentar | сожалеть | Lamentó no haber dicho la verdad antes. (Он пожалел, что не сказал правду раньше.)
resignarse | смириться | Se resignó a no poder ir de vacaciones. (Она смирилась с тем, что не сможет поехать в отпуск.)
tener envidia | завидовать | Tiene envidia de los logros de su hermano. (Он завидует достижениям своего брата.)
dar asco | вызывать отвращение | Le da asco el olor a pescado. (Запах рыбы вызывает у неё отвращение.)
dar pánico | вызывать панику / очень бояться | Le da pánico volar en avión. (Он панически боится летать на самолёте.)
dar terror | вызывать ужас | Le da terror quedarse solo por la noche. (Ему ужасно страшно оставаться одному ночью.)
dar igual | быть всё равно | Me da igual qué película vemos. (Мне всё равно, какой фильм смотреть.)
ponerse furioso | прийти в ярость | Se puso furioso cuando vio los resultados. (Он пришёл в ярость, увидев результаты.)
ponerse histérico | впасть в истерику | Se pone histérica cuando pierde las llaves. (Она впадает в истерику, когда теряет ключи.)
sentir alegría | чувствовать радость | Sintió una alegría enorme al ver a sus amigos. (Она почувствовала огромную радость, увидев друзей.)
sentir angustia | чувствовать тревогу | Sintió angustia al no tener noticias de su familia. (Он почувствовал тревогу, не получая вестей от семьи.)
sentirse animado | чувствовать себя воодушевлённым | Se siente muy animado después de descansar. (Он чувствует себя очень воодушевлённым после отдыха.)
sentirse agobiado | чувствовать себя подавленным | Se siente agobiada con tantas responsabilidades. (Она чувствует себя подавленной из-за такого количества обязанностей.)
sentir calor | чувствовать жару | Siento mucho calor, ¿puedes abrir la ventana? (Мне очень жарко, можешь открыть окно?)
sentir frío | чувствовать холод | Siente frío aunque lleva abrigo. (Ей холодно, даже несмотря на пальто.)
tener sueño | хотеть спать | Tengo mucho sueño, me voy a la cama. (Мне очень хочется спать, иду в кровать.)
tener sed | хотеть пить | Tengo mucha sed después de correr. (После бега мне очень хочется пить.)
tener hambre | быть голодным | Tiene hambre porque no desayunó. (Он голоден, потому что не позавтракал.)
estar bien | чувствовать себя хорошо | Hoy me siento bien, sin dolor. (Сегодня я чувствую себя хорошо, без боли.)
estar mal | чувствовать себя плохо | Está mal desde ayer, tiene fiebre. (Ей плохо со вчерашнего дня, у неё температура.)
estar regular | чувствовать себя так себе | No estoy mal del todo, solo regular. (Я не совсем плохо, просто так себе.)
cansarse | уставать | Se cansa mucho caminando cuesta arriba. (Он очень устаёт, идя в гору.)
vista | зрение | Tiene muy buena vista, no necesita gafas. (У неё очень хорошее зрение, ей не нужны очки.)
oído | слух | Tiene un oído muy fino para la música. (У него очень тонкий слух к музыке.)
gusto | вкус | Tiene buen gusto para la comida. (У неё хороший вкус в еде.)
tacto | осязание / прикосновение | El tacto es el sentido más primitivo. (Осязание — самое древнее чувство.)
olfato | обоняние | Los perros tienen un olfato muy desarrollado. (У собак очень развитое обоняние.)
tener un frío espantoso | чувствовать ужасный холод | Tengo un frío espantoso, no me puedo calentar. (Мне ужасно холодно, никак не могу согреться.)
tener un calor horrible | чувствовать невыносимую жару | Hace un calor horrible hoy, no puedo salir. (Сегодня невыносимая жара, не могу выйти.)
tener un dolor horrible | испытывать ужасную боль | Tiene un dolor horrible en la espalda. (У него ужасная боль в спине.)
tener un sueño espantoso | быть ужасно сонным | Tengo un sueño espantoso, apenas puedo abrir los ojos. (Я ужасно хочу спать, едва могу открыть глаза.)
estar agotado | быть полностью измотанным | Está agotado después de trabajar doce horas. (Он полностью измотан после двенадцати часов работы.)
estar hambriento | быть очень голодным | Está hambriento porque no comió en todo el día. (Он очень голоден, потому что весь день ничего не ел.)
estar helado | замёрзнуть / быть ледяным | Estoy helado, necesito una manta. (Я замёрз, мне нужно одеяло.)
agotarse | истощиться / обессилеть | Se agotó después de la maratón. (Она обессилела после марафона.)
experimentar dolor | испытывать боль | Experimentó un dolor muy fuerte en el pecho. (Он испытал сильную боль в груди.)
